sku,model,mae,mse,rmse,mape
SKU_01,moving_avg_7,3.9491496598639455,26.999659863945578,5.196119692996455,27.43735645753031
SKU_01,naive,5.3011904761904765,47.79761904761905,6.9135822152932445,35.683061639456405
SKU_01,ridge_recursive,7.048147810971892,77.25480947024099,8.789471512567806,49.57118033615967
SKU_02,moving_avg_7,25.960969387755103,1040.3642006802722,32.25467719076215,11.081883570456247
SKU_02,naive,34.46964285714286,1886.0363095238095,43.4285195410091,14.425639951608805
SKU_02,ridge_recursive,24.720338117570474,1003.4258498437194,31.676897730739345,10.146085839572986
SKU_03,moving_avg_7,1531.4845238095238,3384752.8299319735,1839.7697763394128,14.97655211120904
SKU_03,naive,1959.0833333333333,5814613.741666666,2411.3510200024107,18.951791931031643
SKU_03,ridge_recursive,823.1885370446646,1187190.2216997682,1089.582590582177,7.999717123489212
SKU_04,moving_avg_7,224.24506802721086,114604.60187074829,338.53301444725935,12.098098278232271
SKU_04,naive,234.14166666666668,151907.71309523808,389.75340036392,12.512109108387376
SKU_04,ridge_recursive,237.55045915386174,123465.26898491077,351.376249887369,13.353414617017192
SKU_05,moving_avg_7,95.42848639455784,20775.83630952381,144.13825415039483,26.478743671023174
SKU_05,naive,124.59107142857142,33517.718452380956,183.07844890205115,30.00662924146561
SKU_05,ridge_recursive,137.08830346022455,36063.61970932135,189.90423826055422,37.59418969451142
